Id,Text
T001,Translating Alzheimer's disease-associated polymorphisms into functional candidates: a survey of IGAP genes and SNPs.
T002,Genetic heterogeneity of Alzheimer's disease in subjects with and without hypertension.
T003,Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer's d
T004,"Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Abeta, tau, immunity and lipid processing."
T005,Identification of genetic heterogeneity of Alzheimer's disease across age.
T006,A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.
T007,Genetic and lifestyle risk factors for MRI-defined brain infarcts in a population-based setting.
T008,Genome-wide analysis of genetic predisposition to Alzheimer's disease and related sex disparities.
T009,Genetic Overlap Between Alzheimer's Disease and Bipolar Disorder Implicates the MARK2 and VAC14 Genes.
T010,Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease.
T011,Selective Genetic Overlap Between Amyotrophic Lateral Sclerosis and Diseases of the Frontotemporal Dementia Spectrum.
T012,Sex-specific genetic predictors of Alzheimer's disease biomarkers.
T013,Sex-specific genetic predictors of Alzheimer's disease biomarkers.
T014,Single-nucleotide polymorphisms are associated with cognitive decline at Alzheimer's disease conversion within mild cognitive impairment patients.
T015,Genetic assessment of age-associated Alzheimer disease risk: Development and validation of a polygenic hazard score.
T016,"Genetic Study of White Matter Integrity in UK Biobank (N=8448) and the Overlap With Stroke, Depression, and Dementia."
T017,"Genome-wide, high-content siRNA screening identifies the Alzheimer's genetic risk factor FERMT2 as a major modulator of APP metabolism."
T018,Genome-wide association study identifies four novel loci associated with Alzheimer's endophenotypes and disease modifiers.
T019,Discovery of gene-gene interactions across multiple independent data sets of late onset Alzheimer disease from the Alzheimer Disease Genetics Consortium.
T020,Linking Alzheimer's disease and type 2 diabetes: Novel shared susceptibility genes detected by cFDR